ID,name,location,date,source,x,y,notes,top,bottom,clay,silt,sand,particle_density,bulk_density,FC,PWP,FastDP,SlowDP,total_porosity,dispertion_ratio,electric_conductivity,hydraulic_conductivity,infiltration_velocity,pH,organic_matter,N,P,K,MWDV
1,AGD,NA,NA,CIREN,-71.15112585,-33.56805917,NA,0,19,30.5,55.4,14.1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1,AGD,NA,NA,CIREN,-71.15112585,-33.56805917,NA,19,46,39,49.9,11.1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1,AGD,NA,NA,CIREN,-71.15112585,-33.56805917,NA,46,70,36,46.9,17.1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1,AGD,NA,NA,CIREN,-71.15112585,-33.56805917,NA,70,85,22.5,41.9,35.6,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
2,AGF,NA,NA,CIREN,-72.25018236,-38.52993579,NA,0,16,37.7,42.3,19.9,-999,0.94,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
2,AGF,NA,NA,CIREN,-72.25018236,-38.52993579,NA,16,53,42.7,35.8,21.5,-999,1.02,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
2,AGF,NA,NA,CIREN,-72.25018236,-38.52993579,NA,53,75,33.4,40.1,26.5,-999,1.09,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
2,AGF,NA,NA,CIREN,-72.25018236,-38.52993579,NA,75,100,26.1,39.4,34.5,-999,0.75,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
3,AIT,NA,NA,CIREN,-73.61357217,-43.05810882,NA,0,9,11,4.6,84.5,-999,0.57,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
3,AIT,NA,NA,CIREN,-73.61357217,-43.05810882,NA,9,23,13,14.6,72.5,-999,0.69,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
3,AIT,NA,NA,CIREN,-73.61357217,-43.05810882,NA,23,40,5,0.6,94.5,-999,0.48,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
3,AIT,NA,NA,CIREN,-73.61357217,-43.05810882,NA,40,79,3.7,1.6,94.7,-999,0.44,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
3,AIT,NA,NA,CIREN,-73.61357217,-43.05810882,NA,79,110,3.7,2,94.3,-999,0.52,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
4,AJL,NA,NA,CIREN,-71.60708299,-34.7156033,NA,0,20,27.2,28.7,44.1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
4,AJL,NA,NA,CIREN,-71.60708299,-34.7156033,NA,20,32,18.4,32.1,49.5,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
4,AJL,NA,NA,CIREN,-71.60708299,-34.7156033,NA,32,48,18,26.5,55.5,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
4,AJL,NA,NA,CIREN,-71.60708299,-34.7156033,NA,48,80,19,32.5,48.5,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
4,AJL,NA,NA,CIREN,-71.60708299,-34.7156033,NA,80,105,21.4,34.1,44.5,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
5,ALC,NA,NA,CIREN,-72.92779275,-41.40870107,NA,0,5,0.5,21.3,78.2,-999,0.26,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
5,ALC,NA,NA,CIREN,-72.92779275,-41.40870107,NA,5,18,1.2,51.9,46.9,-999,0.55,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
5,ALC,NA,NA,CIREN,-72.92779275,-41.40870107,NA,18,32,2,19,79,-999,0.67,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
5,ALC,NA,NA,CIREN,-72.92779275,-41.40870107,NA,32,55,2.9,24.3,72.8,-999,0.71,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
5,ALC,NA,NA,CIREN,-72.92779275,-41.40870107,NA,55,65,1.6,10,88.4,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
5,ALC,NA,NA,CIREN,-72.92779275,-41.40870107,NA,65,86,1.5,5.6,92.9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
6,ALF,NA,NA,CIREN,-71.1522505,-29.93472503,NA,0,19,18.2,36.8,45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
6,ALF,NA,NA,CIREN,-71.1522505,-29.93472503,NA,19,40,9.1,32.8,58.1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
7,ALH,NA,NA,CIREN,-71.34349796,-34.44644428,NA,0,16,58,10.8,31.2,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
7,ALH,NA,NA,CIREN,-71.34349796,-34.44644428,NA,16,40,59.8,10.4,29.8,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
7,ALH,NA,NA,CIREN,-71.34349796,-34.44644428,NA,40,120,52.5,13.3,34.2,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
8,ALT,NA,NA,CIREN,-71.8713952,-34.32295266,NA,0,18,18.9,13.47,67.41,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
8,ALT,NA,NA,CIREN,-71.8713952,-34.32295266,NA,18,45,35.4,15.83,48.62,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
